,date,factor
0,2020-01-02,218428905
1,2020-01-03,224445647
2,2020-01-06,258005002
3,2020-01-07,250252347
4,2020-01-08,269209298
5,2020-01-09,228508247
6,2020-01-10,213984136
7,2020-01-13,202115400
8,2020-01-14,226279890
9,2020-01-15,201276319
10,2020-01-16,186977126
11,2020-01-17,179153884
12,2020-01-20,189493965
13,2020-01-21,197029816
14,2020-01-22,205960346
15,2020-01-23,230793060
16,2020-02-03,106663503
17,2020-02-04,299747238
18,2020-02-05,261210381
19,2020-02-06,278669350
20,2020-02-07,289954721
21,2020-02-10,284511089
22,2020-02-11,250010870
23,2020-02-12,244211525
24,2020-02-13,264190815
25,2020-02-14,235779871
26,2020-02-17,278864753
27,2020-02-18,313538450
28,2020-02-19,318467991
29,2020-02-20,311977851
30,2020-02-21,344517693
31,2020-02-24,362256328
32,2020-02-25,429313311
33,2020-02-26,405393623
34,2020-02-27,331162138
35,2020-02-28,351292375
36,2020-03-02,308435784
37,2020-03-03,375633170
38,2020-03-04,330145208
39,2020-03-05,384621860
40,2020-03-06,357975493
41,2020-03-09,373501276
42,2020-03-10,372567475
43,2020-03-11,355843860
44,2020-03-12,304908705
45,2020-03-13,333966426
46,2020-03-16,331652349
47,2020-03-17,283748178
48,2020-03-18,283134766
49,2020-03-19,256633526
50,2020-03-20,242065810
51,2020-03-23,238905628
52,2020-03-24,243228042
53,2020-03-25,258772966
54,2020-03-26,238588969
55,2020-03-27,226903964
56,2020-03-30,230052833
57,2020-03-31,208953234
58,2020-04-01,211306307
59,2020-04-02,206130250
60,2020-04-03,206345057
61,2020-04-07,256268009
62,2020-04-08,269680420
63,2020-04-09,265282045
64,2020-04-10,269166390
65,2020-04-13,196127782
66,2020-04-14,206727035
67,2020-04-15,232579796
68,2020-04-16,220487209
69,2020-04-17,247793823
70,2020-04-20,219533665
71,2020-04-21,240413770
72,2020-04-22,239598477
73,2020-04-23,265180874
74,2020-04-24,258005770
75,2020-04-27,209387392
76,2020-04-28,247831045
77,2020-04-29,191361772
78,2020-04-30,206505610
79,2020-05-06,204125046
80,2020-05-07,216325676
81,2020-05-08,212966756
82,2020-05-11,211266970
83,2020-05-12,190556813
84,2020-05-13,183735127
85,2020-05-14,199180764
86,2020-05-15,191241147
87,2020-05-18,216981686
88,2020-05-19,195493263
89,2020-05-20,214898854
90,2020-05-21,205223104
91,2020-05-22,194130939
92,2020-05-25,163085624
93,2020-05-26,181074665
94,2020-05-27,201447293
95,2020-05-28,199553897
96,2020-05-29,192193029
97,2020-06-01,239494804
98,2020-06-02,250951176
99,2020-06-03,258988695
100,2020-06-04,232035784
101,2020-06-05,221917980
102,2020-06-08,215084790
103,2020-06-09,199731156
104,2020-06-10,193883668
105,2020-06-11,212719519
106,2020-06-12,206348639
107,2020-06-15,241344468
108,2020-06-16,224866775
109,2020-06-17,248667031
110,2020-06-18,229438781
111,2020-06-19,218024901
112,2020-06-22,224783434
113,2020-06-23,210609595
114,2020-06-24,198236588
115,2020-06-29,194882765
116,2020-06-30,200259156
117,2020-07-01,242022641
118,2020-07-02,270979625
119,2020-07-03,297749486
120,2020-07-06,418875699
121,2020-07-07,455290038
122,2020-07-08,416624589
123,2020-07-09,473722260
124,2020-07-10,435960092
125,2020-07-13,442362140
126,2020-07-14,469192430
127,2020-07-15,417934797
128,2020-07-16,374342262
129,2020-07-17,285270234
130,2020-07-20,306197005
131,2020-07-21,301924564
132,2020-07-22,314747935
133,2020-07-23,328536878
134,2020-07-24,357198147
135,2020-07-27,255102912
136,2020-07-28,256034048
137,2020-07-29,278293443
138,2020-07-30,313449126
139,2020-07-31,312270636
140,2020-08-03,371990172
141,2020-08-04,380227661
142,2020-08-05,338198612
143,2020-08-06,344900265
144,2020-08-07,336445414
145,2020-08-10,312924634
146,2020-08-11,328090447
147,2020-08-12,307238595
148,2020-08-13,283848072
149,2020-08-14,265559388
150,2020-08-17,303807793
151,2020-08-18,320052483
152,2020-08-19,332518418
153,2020-08-20,274513047
154,2020-08-21,259523069
155,2020-08-24,251973947
156,2020-08-25,291122371
157,2020-08-26,293762755
158,2020-08-27,263314038
159,2020-08-28,272574761
160,2020-08-31,278594719
161,2020-09-01,250423086
162,2020-09-02,310772992
163,2020-09-03,292967844
164,2020-09-04,269616494
165,2020-09-07,330071657
166,2020-09-08,330739141
167,2020-09-09,404261473
168,2020-09-10,344839675
169,2020-09-11,242851500
170,2020-09-14,268144499
171,2020-09-15,249136996
172,2020-09-16,217144788
173,2020-09-17,216098391
174,2020-09-18,233310802
175,2020-09-21,223799808
176,2020-09-22,213315715
177,2020-09-23,190970447
178,2020-09-24,213578808
179,2020-09-25,169811507
180,2020-09-28,158062810
181,2020-09-29,156615731
182,2020-09-30,154743933
183,2020-10-09,195059584
184,2020-10-12,263056607
185,2020-10-13,237520320
186,2020-10-14,233835884
187,2020-10-15,216470787
188,2020-10-16,202641211
189,2020-10-19,207928906
190,2020-10-20,194352005
191,2020-10-21,198458381
192,2020-10-22,183531100
193,2020-10-23,190261023
194,2020-10-26,172387750
195,2020-10-27,178775949
196,2020-10-28,194802724
197,2020-10-29,200270495
198,2020-10-30,229485880
199,2020-11-02,198210271
200,2020-11-03,201237281
201,2020-11-04,190932682
202,2020-11-05,222789834
203,2020-11-06,212954652
204,2020-11-09,251030034
205,2020-11-10,225557645
206,2020-11-11,204393206
207,2020-11-12,182635162
208,2020-11-13,176291187
209,2020-11-16,216003528
210,2020-11-17,229758252
211,2020-11-18,216358482
212,2020-11-19,219432136
213,2020-11-20,215145618
214,2020-11-23,253716375
215,2020-11-24,226055603
216,2020-11-25,236672110
217,2020-11-26,199703890
218,2020-11-27,196900905
219,2020-11-30,204770486
220,2020-12-01,206163218
221,2020-12-02,223601093
222,2020-12-03,212218212
223,2020-12-04,189509061
224,2020-12-07,196968750
225,2020-12-08,182981791
226,2020-12-09,213859771
227,2020-12-10,191717225
228,2020-12-11,225543980
229,2020-12-14,184655291
230,2020-12-15,171531515
231,2020-12-16,183093734
232,2020-12-17,206729897
233,2020-12-18,203930404
234,2020-12-21,218512292
235,2020-12-22,251269312
236,2020-12-23,242096440
237,2020-12-24,245085801
238,2020-12-25,232055163
239,2020-12-28,244363159
240,2020-12-29,237235110
241,2020-12-30,218140705
242,2020-12-31,232077852
243,2021-01-04,263667584
244,2021-01-05,279129933
245,2021-01-06,270750518
246,2021-01-07,284928253
247,2021-01-08,235398863
248,2021-01-11,239780503
249,2021-01-12,197701243
250,2021-01-13,231231844
251,2021-01-14,205121431
252,2021-01-15,185371812
253,2021-01-18,196170583
254,2021-01-19,215140168
255,2021-01-20,190498849
256,2021-01-21,222786217
257,2021-01-22,223304855
258,2021-01-25,227488172
259,2021-01-26,191488351
260,2021-01-27,181668672
261,2021-01-28,189140936
262,2021-01-29,205627745
263,2021-02-01,183049725
264,2021-02-02,174751626
265,2021-02-03,180602970
266,2021-02-04,191991347
267,2021-02-05,167134876
268,2021-02-08,142889818
269,2021-02-09,149462356
270,2021-02-10,142135560
271,2021-02-18,190339231
272,2021-02-19,211235876
273,2021-02-22,283372836
274,2021-02-23,223588362
275,2021-02-24,208712640
276,2021-02-25,195796114
277,2021-02-26,182795676
278,2021-03-01,193360707
279,2021-03-02,198104625
280,2021-03-03,199763666
281,2021-03-04,224876733
282,2021-03-05,218041664
283,2021-03-08,239532844
284,2021-03-09,245461353
285,2021-03-10,187338947
286,2021-03-11,191089733
287,2021-03-12,211533850
288,2021-03-15,207259594
289,2021-03-16,219333824
290,2021-03-17,204631183
291,2021-03-18,208004081
292,2021-03-19,209314209
293,2021-03-22,222597842
294,2021-03-23,237827069
295,2021-03-24,217929613
296,2021-03-25,204831675
297,2021-03-26,208553797
298,2021-03-29,212731533
299,2021-03-30,217221514
300,2021-03-31,197380772
301,2021-04-01,202822249
302,2021-04-02,200284989
303,2021-04-06,196251228
304,2021-04-07,215292278
305,2021-04-08,235288067
306,2021-04-09,211736220
307,2021-04-12,222155100
308,2021-04-13,214622797
309,2021-04-14,204677819
310,2021-04-15,212537426
311,2021-04-16,232825981
312,2021-04-19,242964078
313,2021-04-20,242414648
314,2021-04-21,212147482
315,2021-04-22,203523684
316,2021-04-23,208793984
317,2021-04-26,218987489
318,2021-04-27,206981919
319,2021-04-28,199708936
320,2021-04-29,202286154
321,2021-04-30,205669484
322,2021-05-06,209186237
323,2021-05-07,236031667
324,2021-05-10,237319327
325,2021-05-11,240742733
326,2021-05-12,233210063
327,2021-05-13,247820360
328,2021-05-14,244715167
329,2021-05-17,231798106
330,2021-05-18,203518269
331,2021-05-19,214753091
332,2021-05-20,229231759
333,2021-05-21,214604388
334,2021-05-24,222644209
335,2021-05-25,232764086
336,2021-05-26,241857787
337,2021-05-27,240129091
338,2021-05-28,250589576
339,2021-05-31,244538962
340,2021-06-01,263639539
341,2021-06-02,267000916
342,2021-06-03,251952837
343,2021-06-04,232643476
344,2021-06-07,232243080
345,2021-06-08,241567503
346,2021-06-09,234993526
347,2021-06-10,254648520
348,2021-06-11,266355825
349,2021-06-15,256604316
350,2021-06-16,237930143
351,2021-06-17,227089664
352,2021-06-18,245062090
353,2021-06-21,250033137
354,2021-06-22,266059817
355,2021-06-23,255238927
356,2021-06-24,249879613
357,2021-06-25,246187607
358,2021-06-28,235407519
359,2021-06-29,243359022
360,2021-06-30,228189115
361,2021-07-01,245236861
362,2021-07-02,217168451
363,2021-07-05,224622436
364,2021-07-06,242278776
365,2021-07-07,230485105
366,2021-07-08,259389363
367,2021-07-09,257043069
368,2021-07-12,289883779
369,2021-07-13,287814272
370,2021-07-14,293767854
371,2021-07-15,281683282
372,2021-07-16,271851973
373,2021-07-19,270414118
374,2021-07-20,246953091
375,2021-07-21,288260698
376,2021-07-22,310269087
377,2021-07-23,325153403
378,2021-07-26,311950753
379,2021-07-27,321418220
380,2021-07-28,295866675
381,2021-07-29,271059354
382,2021-07-30,298497196
383,2021-08-02,309452590
384,2021-08-03,317416481
385,2021-08-04,279530660
386,2021-08-05,297296136
387,2021-08-06,279267200
388,2021-08-09,275575101
389,2021-08-10,292796718
390,2021-08-11,309346755
391,2021-08-12,320904000
392,2021-08-13,325278725
393,2021-08-16,319909133
394,2021-08-17,329721277
395,2021-08-18,276852193
396,2021-08-19,271655465
397,2021-08-20,264973363
398,2021-08-23,312409917
399,2021-08-24,325954102
400,2021-08-25,314205361
401,2021-08-26,347230725
402,2021-08-27,329358638
403,2021-08-30,354644173
404,2021-08-31,336203622
405,2021-09-01,374719314
406,2021-09-02,333413563
407,2021-09-03,381064714
408,2021-09-06,325410332
409,2021-09-07,336340413
410,2021-09-08,388421919
411,2021-09-09,375482227
412,2021-09-10,371313139
413,2021-09-13,353758705
414,2021-09-14,371679365
415,2021-09-15,332453140
416,2021-09-16,377844337
417,2021-09-17,342722276
418,2021-09-22,303045407
419,2021-09-23,351006927
420,2021-09-24,331258931
421,2021-09-27,337157640
422,2021-09-28,251522296
423,2021-09-29,261449521
424,2021-09-30,230940723
425,2021-10-08,259859497
426,2021-10-11,246052685
427,2021-10-12,253113756
428,2021-10-13,215988467
429,2021-10-14,210698877
430,2021-10-15,224738468
431,2021-10-18,223477545
432,2021-10-19,229763446
433,2021-10-20,241294121
434,2021-10-21,242059986
435,2021-10-22,250570757
436,2021-10-25,229453343
437,2021-10-26,244904404
438,2021-10-27,251912159
439,2021-10-28,252287071
440,2021-10-29,242628782
441,2021-11-01,260551112
442,2021-11-02,291067011
443,2021-11-03,225868129
444,2021-11-04,253016338
445,2021-11-05,288144166
446,2021-11-08,251756375
447,2021-11-09,253602260
448,2021-11-10,266105782
449,2021-11-11,275017441
450,2021-11-12,280237033
451,2021-11-15,308222963
452,2021-11-16,293021138
453,2021-11-17,284870269
454,2021-11-18,315795830
455,2021-11-19,294697897
456,2021-11-22,297078787
457,2021-11-23,303549850
458,2021-11-24,299873050
459,2021-11-25,287647683
460,2021-11-26,288839071
461,2021-11-29,290777615
462,2021-11-30,320800210
463,2021-12-01,307213228
