,date,factor
0,2020-01-02,627.42
1,2020-01-03,649.32
2,2020-01-06,692.63
3,2020-01-07,677.67
4,2020-01-08,713.19
5,2020-01-09,673.12
6,2020-01-10,661.77
7,2020-01-13,657.54
8,2020-01-14,658.44
9,2020-01-15,647.37
10,2020-01-16,634.85
11,2020-01-17,638.95
12,2020-01-20,636.49
13,2020-01-21,628.85
14,2020-01-22,607.51
15,2020-01-23,592.48
16,2020-02-03,550.57
17,2020-02-04,550.1
18,2020-02-05,565.4
19,2020-02-06,569.13
20,2020-02-07,574.45
21,2020-02-10,594.64
22,2020-02-11,586.93
23,2020-02-12,593.92
24,2020-02-13,613.24
25,2020-02-14,607.34
26,2020-02-17,617.71
27,2020-02-18,631.84
28,2020-02-19,648.47
29,2020-02-20,645.87
30,2020-02-21,671.16
31,2020-02-24,686.47
32,2020-02-25,673.45
33,2020-02-26,644.1
34,2020-02-27,650.6
35,2020-02-28,608.12
36,2020-03-02,615.93
37,2020-03-03,620.41
38,2020-03-04,630.7
39,2020-03-05,637.23
40,2020-03-06,642.74
41,2020-03-09,609.11
42,2020-03-10,607.82
43,2020-03-11,611.73
44,2020-03-12,588.79
45,2020-03-13,569.1
46,2020-03-16,556.13
47,2020-03-17,537.87
48,2020-03-18,527.42
49,2020-03-19,524.73
50,2020-03-20,550.79
51,2020-03-23,540.0
52,2020-03-24,582.05
53,2020-03-25,593.62
54,2020-03-26,587.86
55,2020-03-27,588.73
56,2020-03-30,564.27
57,2020-03-31,560.34
58,2020-04-01,574.21
59,2020-04-02,567.68
60,2020-04-03,569.34
61,2020-04-07,599.24
62,2020-04-08,597.56
63,2020-04-09,597.06
64,2020-04-10,590.38
65,2020-04-13,588.06
66,2020-04-14,602.88
67,2020-04-15,594.03
68,2020-04-16,597.36
69,2020-04-17,579.72
70,2020-04-20,577.73
71,2020-04-21,566.79
72,2020-04-22,568.75
73,2020-04-23,578.55
74,2020-04-24,573.18
75,2020-04-27,556.21
76,2020-04-28,535.31
77,2020-04-29,541.99
78,2020-04-30,549.99
79,2020-05-06,556.33
80,2020-05-07,557.66
81,2020-05-08,568.99
82,2020-05-11,561.07
83,2020-05-12,558.88
84,2020-05-13,564.42
85,2020-05-14,572.51
86,2020-05-15,576.2
87,2020-05-18,605.55
88,2020-05-19,586.82
89,2020-05-20,589.55
90,2020-05-21,577.49
91,2020-05-22,568.7
92,2020-05-25,569.04
93,2020-05-26,582.95
94,2020-05-27,573.59
95,2020-05-28,581.65
96,2020-05-29,585.6
97,2020-06-01,600.13
98,2020-06-02,597.91
99,2020-06-03,596.37
100,2020-06-04,590.88
101,2020-06-05,593.76
102,2020-06-08,598.65
103,2020-06-09,593.29
104,2020-06-10,594.99
105,2020-06-11,598.66
106,2020-06-12,591.22
107,2020-06-15,581.81
108,2020-06-16,588.62
109,2020-06-17,589.51
110,2020-06-18,595.11
111,2020-06-19,600.18
112,2020-06-22,609.52
