,date,factor
0,2020-01-02,606.87
1,2020-01-03,615.83
2,2020-01-06,624.08
3,2020-01-07,624.3
4,2020-01-08,611.48
5,2020-01-09,617.75
6,2020-01-10,615.45
7,2020-01-13,617.34
8,2020-01-14,623.33
9,2020-01-15,615.35
10,2020-01-16,612.48
11,2020-01-17,611.08
12,2020-01-20,614.59
13,2020-01-21,602.41
14,2020-01-22,600.08
15,2020-01-23,577.54
16,2020-02-03,526.04
17,2020-02-04,517.33
18,2020-02-05,526.3
19,2020-02-06,544.43
20,2020-02-07,545.05
21,2020-02-10,571.13
22,2020-02-11,560.95
23,2020-02-12,571.24
24,2020-02-13,585.05
25,2020-02-14,593.58
26,2020-02-17,613.11
27,2020-02-18,607.76
28,2020-02-19,607.29
29,2020-02-20,613.5
30,2020-02-21,611.59
31,2020-02-24,614.1
32,2020-02-25,602.98
33,2020-02-26,606.25
34,2020-02-27,601.49
35,2020-02-28,567.09
36,2020-03-02,588.68
37,2020-03-03,594.35
38,2020-03-04,601.66
39,2020-03-05,622.14
40,2020-03-06,624.67
41,2020-03-09,609.78
42,2020-03-10,611.68
43,2020-03-11,601.52
44,2020-03-12,584.2
45,2020-03-13,574.41
46,2020-03-16,558.61
47,2020-03-17,558.27
48,2020-03-18,548.14
49,2020-03-19,558.1
50,2020-03-20,564.75
51,2020-03-23,550.2
52,2020-03-24,560.78
53,2020-03-25,571.32
54,2020-03-26,572.99
55,2020-03-27,571.55
56,2020-03-30,580.85
57,2020-03-31,595.9
58,2020-04-01,578.79
59,2020-04-02,585.74
60,2020-04-03,589.74
61,2020-04-07,615.12
62,2020-04-08,609.86
63,2020-04-09,608.94
64,2020-04-10,589.29
65,2020-04-13,590.62
66,2020-04-14,597.31
67,2020-04-15,592.56
68,2020-04-16,588.4
69,2020-04-17,583.54
70,2020-04-20,588.45
71,2020-04-21,584.05
72,2020-04-22,601.7
73,2020-04-23,611.75
74,2020-04-24,601.84
75,2020-04-27,596.02
76,2020-04-28,571.77
77,2020-04-29,564.97
78,2020-04-30,569.91
79,2020-05-06,574.48
80,2020-05-07,569.37
81,2020-05-08,574.01
82,2020-05-11,573.56
83,2020-05-12,569.54
84,2020-05-13,575.43
85,2020-05-14,567.21
86,2020-05-15,564.45
87,2020-05-18,564.96
88,2020-05-19,575.01
89,2020-05-20,566.09
90,2020-05-21,558.96
91,2020-05-22,550.43
92,2020-05-25,551.6
93,2020-05-26,557.96
94,2020-05-27,554.76
95,2020-05-28,551.22
96,2020-05-29,552.02
97,2020-06-01,563.61
98,2020-06-02,569.46
99,2020-06-03,570.9
100,2020-06-04,574.46
101,2020-06-05,576.81
102,2020-06-08,575.43
103,2020-06-09,576.69
104,2020-06-10,576.3
105,2020-06-11,572.88
106,2020-06-12,572.85
107,2020-06-15,568.21
108,2020-06-16,573.65
109,2020-06-17,573.77
110,2020-06-18,571.16
111,2020-06-19,572.76
112,2020-06-22,573.6
113,2020-06-23,569.05
114,2020-06-24,563.87
115,2020-06-29,564.07
116,2020-06-30,567.83
117,2020-07-01,567.8
118,2020-07-02,575.08
119,2020-07-03,580.61
120,2020-07-06,597.4
121,2020-07-07,596.2
122,2020-07-08,605.27
123,2020-07-09,619.46
124,2020-07-10,615.17
125,2020-07-13,637.87
126,2020-07-14,642.42
127,2020-07-15,628.51
128,2020-07-16,611.54
129,2020-07-17,611.21
130,2020-07-20,639.03
131,2020-07-21,644.01
132,2020-07-22,649.35
133,2020-07-23,644.21
134,2020-07-24,624.82
135,2020-07-27,633.32
136,2020-07-28,639.39
137,2020-07-29,646.92
138,2020-07-30,652.13
139,2020-07-31,653.42
140,2020-08-03,670.46
141,2020-08-04,668.27
142,2020-08-05,678.54
143,2020-08-06,672.96
144,2020-08-07,668.08
145,2020-08-10,680.47
146,2020-08-11,668.97
147,2020-08-12,676.12
148,2020-08-13,692.48
149,2020-08-14,687.19
150,2020-08-17,696.58
151,2020-08-18,701.22
152,2020-08-19,692.31
153,2020-08-20,691.94
154,2020-08-21,689.06
155,2020-08-24,692.7
156,2020-08-25,683.13
157,2020-08-26,669.49
158,2020-08-27,671.11
159,2020-08-28,678.84
160,2020-08-31,680.87
161,2020-09-01,679.73
162,2020-09-02,679.85
163,2020-09-03,676.68
164,2020-09-04,679.75
165,2020-09-07,672.27
166,2020-09-08,677.35
167,2020-09-09,675.79
168,2020-09-10,662.22
169,2020-09-11,664.91
170,2020-09-14,663.44
171,2020-09-15,661.63
172,2020-09-16,657.92
173,2020-09-17,656.67
174,2020-09-18,663.51
175,2020-09-21,661.63
176,2020-09-22,654.37
177,2020-09-23,653.95
178,2020-09-24,641.98
179,2020-09-25,637.58
180,2020-09-28,630.01
181,2020-09-29,632.99
182,2020-09-30,630.36
183,2020-10-09,645.35
184,2020-10-12,659.49
185,2020-10-13,656.73
186,2020-10-14,650.74
187,2020-10-15,650.47
188,2020-10-16,647.73
189,2020-10-19,648.03
190,2020-10-20,650.94
191,2020-10-21,643.0
192,2020-10-22,639.23
193,2020-10-23,634.59
194,2020-10-26,634.9
195,2020-10-27,638.87
196,2020-10-28,646.96
197,2020-10-29,646.88
198,2020-10-30,633.15
199,2020-11-02,630.52
200,2020-11-03,642.29
201,2020-11-04,642.83
202,2020-11-05,652.9
203,2020-11-06,653.0
204,2020-11-09,662.45
205,2020-11-10,664.75
206,2020-11-11,668.45
207,2020-11-12,677.86
208,2020-11-13,676.29
209,2020-11-16,694.83
210,2020-11-17,690.66
211,2020-11-18,699.49
212,2020-11-19,693.19
213,2020-11-20,701.25
214,2020-11-23,712.04
215,2020-11-24,709.61
216,2020-11-25,696.34
217,2020-11-26,692.95
218,2020-11-27,690.63
219,2020-11-30,695.09
220,2020-12-01,695.98
221,2020-12-02,694.29
222,2020-12-03,690.01
223,2020-12-04,697.1
224,2020-12-07,693.92
225,2020-12-08,690.12
226,2020-12-09,681.36
227,2020-12-10,680.12
228,2020-12-11,674.12
229,2020-12-14,674.05
230,2020-12-15,670.45
231,2020-12-16,664.46
232,2020-12-17,664.84
233,2020-12-18,668.24
234,2020-12-21,686.27
235,2020-12-22,667.56
236,2020-12-23,671.61
237,2020-12-24,664.02
238,2020-12-25,675.55
239,2020-12-28,670.64
240,2020-12-29,668.0
241,2020-12-30,679.58
242,2020-12-31,685.86
243,2021-01-04,689.8
244,2021-01-05,686.79
245,2021-01-06,687.76
246,2021-01-07,677.41
247,2021-01-08,673.88
248,2021-01-11,661.2
249,2021-01-12,665.0
250,2021-01-13,656.43
251,2021-01-14,659.31
252,2021-01-15,665.25
253,2021-01-18,684.02
254,2021-01-19,683.49
255,2021-01-20,684.32
256,2021-01-21,688.25
257,2021-01-22,686.04
258,2021-01-25,682.39
259,2021-01-26,678.5
260,2021-01-27,686.97
261,2021-01-28,676.6
262,2021-01-29,664.47
263,2021-02-01,677.27
264,2021-02-02,678.84
265,2021-02-03,691.8
266,2021-02-04,691.0
267,2021-02-05,671.87
268,2021-02-08,688.45
269,2021-02-09,701.17
270,2021-02-10,710.5
271,2021-02-18,741.44
272,2021-02-19,763.99
273,2021-02-22,783.9
274,2021-02-23,802.38
275,2021-02-24,789.31
276,2021-02-25,783.57
277,2021-02-26,775.69
278,2021-03-01,804.74
279,2021-03-02,786.99
280,2021-03-03,801.33
281,2021-03-04,784.79
282,2021-03-05,773.9
283,2021-03-08,763.71
284,2021-03-09,739.83
285,2021-03-10,733.84
286,2021-03-11,752.56
287,2021-03-12,755.1
288,2021-03-15,769.36
289,2021-03-16,774.03
290,2021-03-17,771.64
291,2021-03-18,786.22
292,2021-03-19,775.53
293,2021-03-22,785.11
294,2021-03-23,760.16
295,2021-03-24,744.41
296,2021-03-25,745.71
297,2021-03-26,751.46
298,2021-03-29,764.52
299,2021-03-30,760.37
300,2021-03-31,760.58
301,2021-04-01,777.04
302,2021-04-02,776.91
303,2021-04-06,790.46
304,2021-04-07,798.92
305,2021-04-08,792.05
306,2021-04-09,791.8
307,2021-04-12,772.19
308,2021-04-13,758.68
309,2021-04-14,763.88
310,2021-04-15,767.72
311,2021-04-16,777.24
312,2021-04-19,782.54
313,2021-04-20,782.45
314,2021-04-21,779.2
315,2021-04-22,779.97
316,2021-04-23,773.06
317,2021-04-26,775.16
318,2021-04-27,765.85
319,2021-04-28,769.21
320,2021-04-29,766.46
321,2021-04-30,771.9
322,2021-05-06,790.35
323,2021-05-07,808.82
324,2021-05-10,819.53
325,2021-05-11,805.43
326,2021-05-12,828.89
327,2021-05-13,824.86
