,date,factor
0,2020-01-02,0.0
1,2020-01-03,0.0
2,2020-01-06,0.0
3,2020-01-07,0.0
4,2020-01-08,0.0
5,2020-01-09,0.0
6,2020-01-10,0.0
7,2020-01-13,0.0
8,2020-01-14,0.0
9,2020-01-15,0.0
10,2020-01-16,0.0
11,2020-01-17,0.0
12,2020-01-20,0.0
13,2020-01-21,0.0
14,2020-01-22,0.0
15,2020-01-23,0.0
16,2020-02-03,0.0
17,2020-02-04,0.0
18,2020-02-05,0.0
19,2020-02-06,0.0
20,2020-02-07,0.0
21,2020-02-10,0.0
22,2020-02-11,0.0
23,2020-02-12,0.0
24,2020-02-13,0.0
25,2020-02-14,0.09338653146019453
26,2020-02-17,0.35437529262685424
27,2020-02-18,1.3668863877399968
28,2020-02-19,0.9333101435967567
29,2020-02-20,1.9148605231406481
30,2020-02-21,2.6931943660310123
31,2020-02-24,3.9710570684421205
32,2020-02-25,3.5605648059751465
33,2020-02-26,1.612687462579555
34,2020-02-27,1.593143447217887
35,2020-02-28,0.004366133136967525
36,2020-03-02,0.7891771525654976
37,2020-03-03,1.4006288013696688
38,2020-03-04,1.7734291338939765
39,2020-03-05,2.717948707877301
40,2020-03-06,2.374609554168384
41,2020-03-09,0.5314550135419458
42,2020-03-10,1.4342146063334218
43,2020-03-11,0.8927191217272051
44,2020-03-12,0.24749834789015146
45,2020-03-13,0.05107329733406746
46,2020-03-16,0.49357049823939075
47,2020-03-17,0.5688633845940416
48,2020-03-18,1.1264852564063665
49,2020-03-19,0.6675122513009368
50,2020-03-20,0.30245725544674057
51,2020-03-23,1.9635482568407157
52,2020-03-24,1.0123860295727687
53,2020-03-25,0.25456742839826396
54,2020-03-26,0.49571764937446794
55,2020-03-27,0.6864653836284796
56,2020-03-30,1.6744976827025917
57,2020-03-31,1.5464053536281166
58,2020-04-01,1.744389109881977
59,2020-04-02,0.6799664670588247
60,2020-04-03,0.8377163905915144
61,2020-04-07,0.03511559297336902
62,2020-04-08,0.0077655456086510545
63,2020-04-09,0.016948652993155185
64,2020-04-10,0.2383501100728369
65,2020-04-13,0.4168455271118004
66,2020-04-14,0.05818546890971786
67,2020-04-15,0.14156812143330402
68,2020-04-16,0.07333625161011383
69,2020-04-17,0.06759484333147225
70,2020-04-20,0.009134691502935253
71,2020-04-21,0.0002487467923286693
72,2020-04-22,0.05924950343498277
73,2020-04-23,0.012814991844924227
74,2020-04-24,0.14559515236322862
75,2020-04-27,0.2968978186533518
76,2020-04-28,1.062153622708298
77,2020-04-29,1.1303264536813498
78,2020-04-30,0.3216537276541663
79,2020-05-06,0.008314746639231471
80,2020-05-07,0.013475702947654518
81,2020-05-08,0.025728251805034654
82,2020-05-11,0.027697559194547347
83,2020-05-12,0.027439194678275745
84,2020-05-13,0.1047759532787688
85,2020-05-14,0.006675493028214178
86,2020-05-15,0.03265336090186159
87,2020-05-18,0.004393192441750089
88,2020-05-19,0.15594094810526343
89,2020-05-20,0.02110579279066334
90,2020-05-21,0.021550938122615156
91,2020-05-22,0.35491105988728994
92,2020-05-25,0.37782328852950925
93,2020-05-26,0.0029428662046534844
94,2020-05-27,0.024042925896157037
95,2020-05-28,0.06176114934400503
96,2020-05-29,0.0006040186145191418
97,2020-06-01,0.5924017598422993
98,2020-06-02,0.7145854944695844
99,2020-06-03,0.7447938548326216
100,2020-06-04,0.8369338378915209
101,2020-06-05,0.7677821521711726
102,2020-06-08,0.6478845398662102
103,2020-06-09,0.9051613203280671
104,2020-06-10,0.8624460472761271
105,2020-06-11,0.720766106308207
106,2020-06-12,0.7637351287016423
107,2020-06-15,0.7544650591027369
108,2020-06-16,1.8883255219548778
109,2020-06-17,2.2246974792828422
110,2020-06-18,1.8857561486731513
111,2020-06-19,2.155812294083908
112,2020-06-22,2.429739231554807
113,2020-06-23,2.274688617712464
114,2020-06-24,1.876231214505836
115,2020-06-29,1.5561634907628101
116,2020-06-30,2.8050236331937204
117,2020-07-01,3.0889478943993227
118,2020-07-02,4.098595661595606
119,2020-07-03,4.975333722369033
120,2020-07-06,9.479986527979177
121,2020-07-07,10.628186945071265
122,2020-07-08,12.98530962788231
123,2020-07-09,16.039342778633312
124,2020-07-10,13.426163254928927
125,2020-07-13,17.19909072203186
126,2020-07-14,14.078060417004785
127,2020-07-15,9.197553171820937
128,2020-07-16,4.135273866405351
129,2020-07-17,4.171066166277756
130,2020-07-20,6.827264457959119
131,2020-07-21,6.957732460022647
132,2020-07-22,7.160339681035029
133,2020-07-23,6.585846575499683
134,2020-07-24,3.0643817441745997
135,2020-07-27,2.9872652277691323
136,2020-07-28,3.562032116972621
137,2020-07-29,5.206567766978251
138,2020-07-30,4.92558157947599
139,2020-07-31,5.701803381750707
140,2020-08-03,7.934241316853775
141,2020-08-04,6.800133776913365
142,2020-08-05,7.426132300252903
143,2020-08-06,6.9902018170113545
144,2020-08-07,5.781546762878372
145,2020-08-10,5.9007849718816985
146,2020-08-11,4.4079850761459305
147,2020-08-12,3.6300274425917767
148,2020-08-13,3.788089212375777
149,2020-08-14,4.07582619308128
150,2020-08-17,5.1585297588115075
151,2020-08-18,5.56769987298934
152,2020-08-19,4.35634053966598
153,2020-08-20,3.5496763886640244
154,2020-08-21,3.7377590014923836
155,2020-08-24,4.034878673814144
156,2020-08-25,3.6929266884742287
157,2020-08-26,2.5789290002810152
158,2020-08-27,3.0423175412741768
159,2020-08-28,3.4262453633877867
160,2020-08-31,3.470977731023704
161,2020-09-01,3.6010333702472486
162,2020-09-02,3.7128329948718033
163,2020-09-03,3.089739160082561
