,date,factor
0,2021-10-12,976.54
1,2021-10-13,963.76
2,2021-10-14,966.66
3,2021-10-15,956.13
4,2021-10-18,986.56
5,2021-10-19,999.72
6,2021-10-20,993.08
7,2021-10-21,1014.85
8,2021-10-22,985.75
9,2021-10-25,1003.53
10,2021-10-26,994.85
11,2021-10-27,991.68
12,2021-10-28,946.54
13,2021-10-29,958.5
14,2021-11-01,969.03
15,2021-11-02,928.02
16,2021-11-03,929.75
17,2021-11-04,936.73
18,2021-11-05,898.43
19,2021-11-08,909.53
20,2021-11-09,928.06
21,2021-11-10,930.49
22,2021-11-11,941.72
23,2021-11-12,947.97
24,2021-11-15,942.51
25,2021-11-16,919.23
26,2021-11-17,940.06
27,2021-11-18,953.62
28,2021-11-19,980.11
29,2021-11-22,992.55
30,2021-11-23,999.53
31,2021-11-24,1003.27
32,2021-11-25,1004.61
33,2021-11-26,1012.48
34,2021-11-29,1014.45
35,2021-11-30,1021.83
36,2021-12-01,1036.88
37,2021-12-02,1025.79
38,2021-12-03,1029.71
39,2021-12-06,1031.36
40,2021-12-07,1016.32
41,2021-12-08,1023.92
42,2021-12-09,1010.85
43,2021-12-10,1017.01
44,2021-12-13,1026.82
45,2021-12-14,1029.58
46,2021-12-15,1021.77
47,2021-12-16,1035.01
48,2021-12-17,1020.16
49,2021-12-20,995.28
50,2021-12-21,1000.13
51,2021-12-22,1010.87
52,2021-12-23,1007.9
53,2021-12-24,973.91
54,2021-12-27,983.48
55,2021-12-28,989.44
56,2021-12-29,995.95
57,2021-12-30,992.38
58,2021-12-31,995.05
59,2022-01-04,995.61
60,2022-01-05,981.03
61,2022-01-06,995.12
62,2022-01-07,978.01
63,2022-01-10,985.16
64,2022-01-11,987.76
65,2022-01-12,1002.76
66,2022-01-13,988.91
67,2022-01-14,987.02
68,2022-01-17,992.32
69,2022-01-18,984.66
70,2022-01-19,974.42
71,2022-01-20,948.82
72,2022-01-21,940.05
73,2022-01-24,941.56
74,2022-01-25,907.18
75,2022-01-26,910.82
76,2022-01-27,889.34
77,2022-01-28,893.48
78,2022-02-07,919.03
79,2022-02-08,937.79
80,2022-02-09,947.53
81,2022-02-10,954.15
82,2022-02-11,940.38
83,2022-02-14,937.95
84,2022-02-15,941.56
85,2022-02-16,953.79
86,2022-02-17,959.93
87,2022-02-18,969.93
88,2022-02-21,973.47
89,2022-02-22,971.77
90,2022-02-23,998.43
91,2022-02-24,971.5
92,2022-02-25,976.99
93,2022-02-28,993.88
94,2022-03-01,999.29
95,2022-03-02,1005.53
96,2022-03-03,1007.39
97,2022-03-04,988.83
98,2022-03-07,977.81
99,2022-03-08,944.48
100,2022-03-09,931.26
101,2022-03-10,953.84
102,2022-03-11,958.56
103,2022-03-14,933.42
104,2022-03-15,881.12
105,2022-03-16,907.56
106,2022-03-17,916.33
107,2022-03-18,932.03
108,2022-03-21,945.28
109,2022-03-22,939.39
110,2022-03-23,946.57
111,2022-03-24,951.22
112,2022-03-25,945.8
113,2022-03-28,934.27
114,2022-03-29,936.87
115,2022-03-30,951.92
116,2022-03-31,939.64
117,2022-04-01,935.66
118,2022-04-06,938.41
119,2022-04-07,927.62
120,2022-04-08,942.16
121,2022-04-11,915.39
122,2022-04-12,916.24
123,2022-04-13,909.96
124,2022-04-14,924.54
125,2022-04-15,913.94
126,2022-04-18,912.01
127,2022-04-19,930.54
128,2022-04-20,909.34
129,2022-04-21,861.51
130,2022-04-22,849.47
131,2022-04-25,777.42
132,2022-04-26,734.63
133,2022-04-27,768.06
134,2022-04-28,757.66
135,2022-04-29,791.5
136,2022-05-05,812.9
137,2022-05-06,801.14
138,2022-05-09,809.82
139,2022-05-10,815.02
140,2022-05-11,818.93
141,2022-05-12,821.67
142,2022-05-13,833.32
