,date,factor
0,2020-01-02,145894405
1,2020-01-03,128452022
2,2020-01-06,159587415
3,2020-01-07,144142723
4,2020-01-08,155406848
5,2020-01-09,132431667
6,2020-01-10,113819822
7,2020-01-13,118076180
8,2020-01-14,129811384
9,2020-01-15,112425019
10,2020-01-16,111897275
11,2020-01-17,104949330
12,2020-01-20,115403000
13,2020-01-21,124604808
14,2020-01-22,123474770
15,2020-01-23,145773071
16,2020-02-03,81777083
17,2020-02-04,189672279
18,2020-02-05,171095340
19,2020-02-06,185957455
20,2020-02-07,191147643
21,2020-02-10,176703283
22,2020-02-11,152508178
23,2020-02-12,151041472
24,2020-02-13,158202642
25,2020-02-14,145346496
26,2020-02-17,174636657
27,2020-02-18,185098701
28,2020-02-19,185642084
29,2020-02-20,192076027
30,2020-02-21,207236239
31,2020-02-24,218098962
32,2020-02-25,267366679
33,2020-02-26,266375081
34,2020-02-27,204694876
35,2020-02-28,224306708
36,2020-03-02,199511611
37,2020-03-03,226325494
38,2020-03-04,185133097
39,2020-03-05,217232220
40,2020-03-06,185297147
41,2020-03-09,218538089
42,2020-03-10,208402877
43,2020-03-11,187750912
44,2020-03-12,158753157
45,2020-03-13,195266660
46,2020-03-16,186849953
47,2020-03-17,159137879
48,2020-03-18,164286605
49,2020-03-19,154593702
50,2020-03-20,127513290
51,2020-03-23,138684746
52,2020-03-24,140787704
53,2020-03-25,146881070
54,2020-03-26,125652449
55,2020-03-27,117045074
56,2020-03-30,123981317
57,2020-03-31,111605612
58,2020-04-01,112154112
59,2020-04-02,113351078
60,2020-04-03,109478979
61,2020-04-07,145109453
62,2020-04-08,137786255
63,2020-04-09,125098463
64,2020-04-10,123816389
65,2020-04-13,98180992
66,2020-04-14,110188244
67,2020-04-15,122477399
68,2020-04-16,120742193
69,2020-04-17,136969833
70,2020-04-20,120642181
71,2020-04-21,130744425
72,2020-04-22,123597007
73,2020-04-23,144618301
74,2020-04-24,131383368
75,2020-04-27,117132426
76,2020-04-28,140824911
77,2020-04-29,105926848
78,2020-04-30,133036687
79,2020-05-06,141679050
80,2020-05-07,140146355
81,2020-05-08,136318623
82,2020-05-11,129851986
83,2020-05-12,115943677
84,2020-05-13,107895823
85,2020-05-14,119197701
86,2020-05-15,112651512
87,2020-05-18,133654664
88,2020-05-19,112008860
89,2020-05-20,123491264
