,date,factor
0,2021-09-30,1042.33
1,2021-10-08,1020.01
2,2021-10-11,1033.36
3,2021-10-12,1001.3
4,2021-10-13,1023.04
5,2021-10-14,1034.77
6,2021-10-15,1051.41
7,2021-10-18,1084.33
8,2021-10-19,1094.26
9,2021-10-20,1099.3
10,2021-10-21,1096.58
11,2021-10-22,1046.92
12,2021-10-25,1056.45
13,2021-10-26,1063.87
14,2021-10-27,1047.07
15,2021-10-28,1002.79
16,2021-10-29,1026.56
17,2021-11-01,993.74
18,2021-11-02,991.1
19,2021-11-03,985.29
20,2021-11-04,981.28
21,2021-11-05,986.74
22,2021-11-08,1059.59
23,2021-11-09,1068.14
24,2021-11-10,1019.71
25,2021-11-11,1020.0
26,2021-11-12,1014.25
27,2021-11-15,983.15
28,2021-11-16,960.15
29,2021-11-17,1014.47
30,2021-11-18,1045.17
31,2021-11-19,1045.33
32,2021-11-22,1096.0
33,2021-11-23,1075.53
34,2021-11-24,1092.82
35,2021-11-25,1102.8
36,2021-11-26,1136.64
37,2021-11-29,1159.38
38,2021-11-30,1156.26
39,2021-12-01,1151.93
40,2021-12-02,1141.06
41,2021-12-03,1164.25
42,2021-12-06,1119.63
43,2021-12-07,1071.35
44,2021-12-08,1107.59
45,2021-12-09,1112.55
46,2021-12-10,1153.16
47,2021-12-13,1153.37
48,2021-12-14,1127.43
49,2021-12-15,1099.98
50,2021-12-16,1095.42
51,2021-12-17,1077.96
52,2021-12-20,1026.63
53,2021-12-21,1033.07
54,2021-12-22,1037.47
55,2021-12-23,1018.87
56,2021-12-24,974.91
57,2021-12-27,983.83
58,2021-12-28,1024.1
59,2021-12-29,1020.41
60,2021-12-30,1010.03
61,2021-12-31,1032.08
62,2022-01-04,986.39
63,2022-01-05,959.89
64,2022-01-06,971.25
65,2022-01-07,936.57
66,2022-01-10,944.38
67,2022-01-11,932.94
68,2022-01-12,975.0
69,2022-01-13,950.92
70,2022-01-14,949.36
71,2022-01-17,940.93
72,2022-01-18,943.58
73,2022-01-19,907.58
74,2022-01-20,904.59
75,2022-01-21,904.69
76,2022-01-24,948.06
77,2022-01-25,925.95
78,2022-01-26,925.58
79,2022-01-27,902.56
80,2022-01-28,879.64
81,2022-02-07,893.55
82,2022-02-08,879.71
83,2022-02-09,905.74
84,2022-02-10,906.59
85,2022-02-11,914.74
86,2022-02-14,924.26
87,2022-02-15,944.45
88,2022-02-16,942.75
89,2022-02-17,987.45
90,2022-02-18,984.29
91,2022-02-21,983.09
92,2022-02-22,1010.13
93,2022-02-23,1033.1
94,2022-02-24,1005.59
95,2022-02-25,1023.69
96,2022-02-28,1046.67
97,2022-03-01,1015.3
98,2022-03-02,1013.25
99,2022-03-03,1002.69
100,2022-03-04,983.9
101,2022-03-07,975.0
102,2022-03-08,922.67
103,2022-03-09,877.54
104,2022-03-10,908.56
105,2022-03-11,894.68
106,2022-03-14,860.82
107,2022-03-15,851.41
108,2022-03-16,888.5
109,2022-03-17,888.51
110,2022-03-18,885.02
111,2022-03-21,906.47
112,2022-03-22,911.72
113,2022-03-23,904.66
114,2022-03-24,908.47
115,2022-03-25,901.78
116,2022-03-28,869.48
117,2022-03-29,874.74
118,2022-03-30,895.66
119,2022-03-31,864.99
120,2022-04-01,869.12
121,2022-04-06,857.17
122,2022-04-07,845.63
123,2022-04-08,826.91
124,2022-04-11,763.84
125,2022-04-12,778.27
126,2022-04-13,788.7
127,2022-04-14,791.85
128,2022-04-15,773.22
129,2022-04-18,777.0
130,2022-04-19,777.45
131,2022-04-20,751.8
132,2022-04-21,717.07
133,2022-04-22,703.32
134,2022-04-25,638.81
135,2022-04-26,624.76
136,2022-04-27,680.37
137,2022-04-28,699.34
138,2022-04-29,737.83
139,2022-05-05,741.11
140,2022-05-06,721.38
141,2022-05-09,727.13
142,2022-05-10,744.36
143,2022-05-11,768.31
144,2022-05-12,761.83
145,2022-05-13,760.5
146,2022-05-16,760.84
147,2022-05-17,796.71
148,2022-05-18,795.82
149,2022-05-19,812.55
150,2022-05-20,822.85
151,2022-05-23,843.45
152,2022-05-24,813.63
153,2022-05-25,817.27
154,2022-05-26,817.9
155,2022-05-27,810.65
156,2022-05-30,818.18
157,2022-05-31,825.73
158,2022-06-01,824.63
159,2022-06-02,835.88
160,2022-06-06,892.28
161,2022-06-07,894.54
162,2022-06-08,913.96
163,2022-06-09,899.28
164,2022-06-10,922.57
165,2022-06-13,952.02
166,2022-06-14,942.28
167,2022-06-15,936.42
168,2022-06-16,935.27
169,2022-06-17,978.84
170,2022-06-20,973.36
171,2022-06-21,942.8
172,2022-06-22,940.98
173,2022-06-23,967.78
174,2022-06-24,967.12
175,2022-06-27,1008.23
176,2022-06-28,1022.67
177,2022-06-29,980.2
178,2022-06-30,994.23
179,2022-07-01,1030.1
180,2022-07-04,1047.1
181,2022-07-05,1078.67
182,2022-07-06,1060.16
183,2022-07-07,1068.19
184,2022-07-08,1048.83
185,2022-07-11,986.01
186,2022-07-12,965.45
187,2022-07-13,968.57
188,2022-07-14,982.17
189,2022-07-15,965.77
190,2022-07-18,972.1
191,2022-07-19,969.26
192,2022-07-20,977.35
193,2022-07-21,950.52
194,2022-07-22,963.57
195,2022-07-25,962.94
196,2022-07-26,970.06
197,2022-07-27,970.75
198,2022-07-28,958.36
199,2022-07-29,943.98
200,2022-08-01,977.14
201,2022-08-02,931.58
202,2022-08-03,915.02
203,2022-08-04,929.48
204,2022-08-05,947.86
205,2022-08-08,953.6
206,2022-08-09,975.93
207,2022-08-10,964.89
208,2022-08-11,969.73
209,2022-08-12,953.49
210,2022-08-15,987.72
211,2022-08-16,979.75
212,2022-08-17,969.26
213,2022-08-18,964.12
214,2022-08-19,952.01
215,2022-08-22,992.95
216,2022-08-23,989.22
217,2022-08-24,952.12
218,2022-08-25,932.0
219,2022-08-26,935.73
220,2022-08-29,920.61
221,2022-08-30,917.53
222,2022-08-31,887.24
223,2022-09-01,873.24
224,2022-09-02,868.27
225,2022-09-05,867.09
226,2022-09-06,891.33
227,2022-09-07,892.69
228,2022-09-08,876.42
229,2022-09-09,902.66
230,2022-09-13,909.17
231,2022-09-14,901.63
232,2022-09-15,873.16
233,2022-09-16,841.79
234,2022-09-19,855.32
235,2022-09-20,882.86
236,2022-09-21,882.92
237,2022-09-22,876.8
238,2022-09-23,856.03
239,2022-09-26,845.42
240,2022-09-27,838.46
241,2022-09-28,788.98
242,2022-09-29,801.92
243,2022-09-30,783.77
244,2022-10-10,764.11
245,2022-10-11,777.51
246,2022-10-12,790.93
247,2022-10-13,774.3
248,2022-10-14,797.28
249,2022-10-17,801.66
250,2022-10-18,798.98
251,2022-10-19,793.54
252,2022-10-20,781.88
253,2022-10-21,770.95
254,2022-10-24,771.1
255,2022-10-25,772.17
256,2022-10-26,766.14
257,2022-10-27,761.31
258,2022-10-28,724.69
259,2022-10-31,729.25
260,2022-11-01,766.61
261,2022-11-02,775.44
262,2022-11-03,778.59
263,2022-11-04,825.56
264,2022-11-07,836.35
265,2022-11-08,841.31
266,2022-11-09,834.69
267,2022-11-10,812.14
268,2022-11-11,823.85
269,2022-11-14,801.45
270,2022-11-15,813.48
271,2022-11-16,797.81
272,2022-11-17,787.89
273,2022-11-18,775.15
274,2022-11-21,785.77
275,2022-11-22,769.96
276,2022-11-23,774.75
277,2022-11-24,778.31
278,2022-11-25,760.03
279,2022-11-28,752.27
280,2022-11-29,760.63
281,2022-11-30,773.7
282,2022-12-01,776.3
283,2022-12-02,770.55
284,2022-12-05,772.43
285,2022-12-06,776.01
286,2022-12-07,781.63
287,2022-12-08,775.43
288,2022-12-09,786.18
289,2022-12-12,765.05
290,2022-12-13,757.65
291,2022-12-14,753.61
292,2022-12-15,760.96
293,2022-12-16,735.69
294,2022-12-19,741.7
295,2022-12-20,725.94
296,2022-12-21,719.3
297,2022-12-22,700.83
298,2022-12-23,701.65
299,2022-12-26,712.96
300,2022-12-27,716.88
301,2022-12-28,706.12
302,2022-12-29,700.76
303,2022-12-30,691.63
304,2023-01-03,707.06
305,2023-01-04,695.42
306,2023-01-05,715.07
307,2023-01-06,725.36
308,2023-01-09,726.97
309,2023-01-10,728.74
310,2023-01-11,717.79
311,2023-01-12,728.34
312,2023-01-13,728.66
313,2023-01-16,739.21
314,2023-01-17,739.36
315,2023-01-18,744.71
316,2023-01-19,747.06
317,2023-01-20,769.57
318,2023-01-30,778.55
319,2023-01-31,777.11
320,2023-02-01,794.76
321,2023-02-02,785.28
322,2023-02-03,776.32
323,2023-02-06,766.66
324,2023-02-07,768.68
325,2023-02-08,775.53
326,2023-02-09,776.98
327,2023-02-10,761.01
328,2023-02-13,762.28
329,2023-02-14,760.55
330,2023-02-15,751.7
331,2023-02-16,732.4
332,2023-02-17,723.54
333,2023-02-20,725.4
334,2023-02-21,740.49
335,2023-02-22,733.32
336,2023-02-23,735.63
337,2023-02-24,729.57
338,2023-02-27,724.5
339,2023-02-28,727.0
340,2023-03-01,728.56
341,2023-03-02,718.56
342,2023-03-03,715.05
343,2023-03-06,715.45
344,2023-03-07,702.43
345,2023-03-08,702.25
346,2023-03-09,705.68
347,2023-03-10,689.33
348,2023-03-13,678.57
349,2023-03-14,679.51
350,2023-03-15,676.9
351,2023-03-16,659.72
352,2023-03-17,665.83
353,2023-03-20,667.18
354,2023-03-21,681.28
355,2023-03-22,681.38
356,2023-03-23,678.44
357,2023-03-24,675.11
358,2023-03-27,671.04
359,2023-03-28,657.13
360,2023-03-29,652.97
361,2023-03-30,653.28
362,2023-03-31,652.45
363,2023-04-03,668.2
364,2023-04-04,651.73
365,2023-04-06,644.9
366,2023-04-07,644.98
367,2023-04-10,651.07
368,2023-04-11,663.53
369,2023-04-12,655.07
370,2023-04-13,644.23
371,2023-04-14,672.26
372,2023-04-17,675.24
373,2023-04-18,675.68
374,2023-04-19,672.46
375,2023-04-20,653.08
376,2023-04-21,638.78
377,2023-04-24,621.67
378,2023-04-25,581.14
379,2023-04-26,602.05
380,2023-04-27,595.45
381,2023-04-28,600.35
382,2023-05-04,599.94
383,2023-05-05,589.42
384,2023-05-08,597.61
385,2023-05-09,584.7
386,2023-05-10,597.32
387,2023-05-11,602.32
388,2023-05-12,589.61
389,2023-05-15,630.34
390,2023-05-16,628.11
391,2023-05-17,622.82
392,2023-05-18,620.38
393,2023-05-19,615.73
394,2023-05-22,616.27
395,2023-05-23,609.05
396,2023-05-24,603.47
397,2023-05-25,593.4
398,2023-05-26,584.01
399,2023-05-29,578.83
400,2023-05-30,576.9
401,2023-05-31,569.3
402,2023-06-01,574.41
403,2023-06-02,604.55
404,2023-06-05,602.4
405,2023-06-06,588.37
406,2023-06-07,577.86
407,2023-06-08,587.68
408,2023-06-09,597.34
409,2023-06-12,591.26
410,2023-06-13,592.22
411,2023-06-14,586.26
412,2023-06-15,600.01
413,2023-06-16,599.4
414,2023-06-19,589.25
415,2023-06-20,583.74
416,2023-06-21,572.66
417,2023-06-26,568.63
418,2023-06-27,573.26
419,2023-06-28,570.5
420,2023-06-29,564.0
421,2023-06-30,577.7
422,2023-07-03,582.56
423,2023-07-04,582.9
424,2023-07-05,590.77
425,2023-07-06,577.97
426,2023-07-07,572.14
427,2023-07-10,583.17
428,2023-07-11,584.52
429,2023-07-12,580.42
430,2023-07-13,586.82
431,2023-07-14,581.65
432,2023-07-17,573.33
433,2023-07-18,572.9
434,2023-07-19,570.1
435,2023-07-20,580.06
436,2023-07-21,569.04
437,2023-07-24,552.69
438,2023-07-25,570.62
439,2023-07-26,567.2
440,2023-07-27,561.1
441,2023-07-28,569.37
442,2023-07-31,576.72
