,date,factor
0,2020-01-02,177.33
1,2020-01-03,177.33
2,2020-01-06,177.39
3,2020-01-07,177.41
4,2020-01-08,177.44
5,2020-01-09,177.46
6,2020-01-10,177.54
7,2020-01-13,177.64
8,2020-01-14,177.67
9,2020-01-15,177.69
10,2020-01-16,177.73
11,2020-01-17,177.78
12,2020-01-20,177.85
13,2020-01-21,177.95
14,2020-01-22,178.06
15,2020-01-23,178.15
16,2020-02-03,178.58
17,2020-02-04,178.76
18,2020-02-05,178.78
19,2020-02-06,178.87
20,2020-02-07,179.11
21,2020-02-10,179.2
22,2020-02-11,179.14
23,2020-02-12,179.14
24,2020-02-13,179.16
25,2020-02-14,179.17
26,2020-02-17,179.18
27,2020-02-18,178.77
28,2020-02-19,178.76
29,2020-02-20,178.66
30,2020-02-21,178.81
31,2020-02-24,178.82
32,2020-02-25,178.85
33,2020-02-26,179.26
34,2020-02-27,179.37
35,2020-02-28,179.44
36,2020-03-02,179.5
37,2020-03-03,179.54
38,2020-03-04,179.65
39,2020-03-05,179.73
40,2020-03-06,179.88
41,2020-03-09,180.59
42,2020-03-10,180.5
43,2020-03-11,180.84
44,2020-03-12,180.85
45,2020-03-13,180.73
46,2020-03-16,180.75
47,2020-03-17,180.71
48,2020-03-18,180.72
49,2020-03-19,180.8
50,2020-03-20,180.85
51,2020-03-23,181.08
52,2020-03-24,181.18
53,2020-03-25,181.21
54,2020-03-26,181.25
55,2020-03-27,181.29
56,2020-03-30,181.29
57,2020-03-31,181.34
58,2020-04-01,181.5
59,2020-04-02,181.56
60,2020-04-03,181.56
61,2020-04-07,181.75
62,2020-04-08,181.82
63,2020-04-09,181.94
64,2020-04-10,181.98
65,2020-04-13,182.05
66,2020-04-14,182.03
67,2020-04-15,182.11
68,2020-04-16,182.15
69,2020-04-17,182.18
70,2020-04-20,182.19
71,2020-04-21,182.28
72,2020-04-22,182.38
73,2020-04-23,182.51
74,2020-04-24,182.5
75,2020-04-27,182.62
76,2020-04-28,182.64
77,2020-04-29,182.76
78,2020-04-30,182.71
79,2020-05-06,182.77
80,2020-05-07,182.78
81,2020-05-08,182.97
82,2020-05-11,182.91
83,2020-05-12,182.91
84,2020-05-13,182.91
85,2020-05-14,182.91
86,2020-05-15,182.86
87,2020-05-18,182.89
88,2020-05-19,182.79
89,2020-05-20,182.79
90,2020-05-21,182.77
91,2020-05-22,182.78
92,2020-05-25,182.76
93,2020-05-26,182.69
94,2020-05-27,182.64
95,2020-05-28,182.68
96,2020-05-29,182.69
97,2020-06-01,182.76
98,2020-06-02,182.7
99,2020-06-03,182.65
100,2020-06-04,182.66
101,2020-06-05,182.62
102,2020-06-08,182.61
103,2020-06-09,182.61
104,2020-06-10,182.63
105,2020-06-11,182.65
106,2020-06-12,182.69
107,2020-06-15,182.69
108,2020-06-16,182.6
109,2020-06-17,182.59
110,2020-06-18,182.56
111,2020-06-19,182.58
112,2020-06-22,182.61
113,2020-06-23,182.45
114,2020-06-24,182.39
115,2020-06-29,182.46
116,2020-06-30,182.43
117,2020-07-01,182.48
118,2020-07-02,182.49
119,2020-07-03,182.47
120,2020-07-06,182.32
121,2020-07-07,182.2
122,2020-07-08,182.22
123,2020-07-09,182.15
124,2020-07-10,182.12
125,2020-07-13,182.19
126,2020-07-14,182.17
127,2020-07-15,182.15
128,2020-07-16,182.17
129,2020-07-17,182.19
130,2020-07-20,182.21
131,2020-07-21,182.31
132,2020-07-22,182.34
133,2020-07-23,182.35
134,2020-07-24,182.43
135,2020-07-27,182.51
136,2020-07-28,182.57
137,2020-07-29,182.55
138,2020-07-30,182.59
139,2020-07-31,182.55
140,2020-08-03,182.62
141,2020-08-04,182.68
142,2020-08-05,182.66
143,2020-08-06,182.58
144,2020-08-07,182.6
145,2020-08-10,182.66
146,2020-08-11,182.69
147,2020-08-12,182.75
148,2020-08-13,182.77
149,2020-08-14,182.84
150,2020-08-17,182.8
151,2020-08-18,182.79
152,2020-08-19,182.69
153,2020-08-20,182.68
154,2020-08-21,182.74
155,2020-08-24,182.76
156,2020-08-25,182.76
157,2020-08-26,182.66
158,2020-08-27,182.67
159,2020-08-28,182.55
160,2020-08-31,182.63
161,2020-09-01,182.63
162,2020-09-02,182.61
163,2020-09-03,182.62
164,2020-09-04,182.66
165,2020-09-07,182.64
166,2020-09-08,182.65
167,2020-09-09,182.63
168,2020-09-10,182.73
169,2020-09-11,182.73
170,2020-09-14,182.8
171,2020-09-15,182.82
172,2020-09-16,182.83
173,2020-09-17,182.87
174,2020-09-18,182.82
175,2020-09-21,182.96
176,2020-09-22,183.04
177,2020-09-23,183.04
178,2020-09-24,183.04
179,2020-09-25,182.96
180,2020-09-28,183.0
181,2020-09-29,183.02
182,2020-09-30,183.04
183,2020-10-09,183.18
184,2020-10-12,183.16
185,2020-10-13,183.19
186,2020-10-14,183.18
187,2020-10-15,183.12
188,2020-10-16,183.11
189,2020-10-19,183.17
190,2020-10-20,183.22
191,2020-10-21,183.1
192,2020-10-22,183.2
193,2020-10-23,183.16
194,2020-10-26,183.18
195,2020-10-27,183.21
196,2020-10-28,183.17
197,2020-10-29,183.04
198,2020-10-30,183.0
199,2020-11-02,183.05
200,2020-11-03,183.04
201,2020-11-04,183.11
202,2020-11-05,183.11
203,2020-11-06,183.11
204,2020-11-09,183.08
205,2020-11-10,183.12
206,2020-11-11,183.14
207,2020-11-12,183.12
208,2020-11-13,183.11
209,2020-11-16,183.13
210,2020-11-17,183.03
211,2020-11-18,183.04
212,2020-11-19,182.98
213,2020-11-20,182.93
214,2020-11-23,182.98
215,2020-11-24,182.99
216,2020-11-25,183.0
217,2020-11-26,183.02
218,2020-11-27,183.07
219,2020-11-30,183.11
220,2020-12-01,183.15
221,2020-12-02,183.18
222,2020-12-03,183.23
223,2020-12-04,183.2
224,2020-12-07,183.24
225,2020-12-08,183.22
226,2020-12-09,183.31
227,2020-12-10,183.36
228,2020-12-11,183.36
229,2020-12-14,183.39
230,2020-12-15,183.46
231,2020-12-16,183.42
232,2020-12-17,183.4
233,2020-12-18,183.4
234,2020-12-21,183.46
235,2020-12-22,183.47
236,2020-12-23,183.51
237,2020-12-24,183.51
238,2020-12-25,183.56
239,2020-12-28,183.62
240,2020-12-29,183.69
241,2020-12-30,183.73
242,2020-12-31,183.78
243,2021-01-04,183.85
244,2021-01-05,183.89
245,2021-01-06,183.95
246,2021-01-07,183.99
247,2021-01-08,184.03
248,2021-01-11,184.06
249,2021-01-12,184.18
250,2021-01-13,184.24
251,2021-01-14,184.22
252,2021-01-15,184.24
253,2021-01-18,184.24
254,2021-01-19,184.25
255,2021-01-20,184.29
256,2021-01-21,184.31
257,2021-01-22,184.37
258,2021-01-25,184.46
259,2021-01-26,184.43
260,2021-01-27,184.41
261,2021-01-28,184.38
262,2021-01-29,184.39
263,2021-02-01,184.46
264,2021-02-02,184.46
265,2021-02-03,184.46
266,2021-02-04,184.43
267,2021-02-05,184.44
268,2021-02-08,184.47
269,2021-02-09,184.46
270,2021-02-10,184.51
271,2021-02-18,184.58
272,2021-02-19,184.62
273,2021-02-22,184.58
274,2021-02-23,184.57
275,2021-02-24,184.51
276,2021-02-25,184.47
277,2021-02-26,184.49
278,2021-03-01,184.52
279,2021-03-02,184.55
280,2021-03-03,184.63
281,2021-03-04,184.61
282,2021-03-05,184.64
283,2021-03-08,184.69
284,2021-03-09,184.71
285,2021-03-10,184.8
286,2021-03-11,184.77
287,2021-03-12,184.75
288,2021-03-15,184.84
289,2021-03-16,184.84
290,2021-03-17,184.85
291,2021-03-18,184.87
292,2021-03-19,185.0
293,2021-03-22,185.03
294,2021-03-23,185.1
295,2021-03-24,185.11
296,2021-03-25,185.14
297,2021-03-26,185.14
298,2021-03-29,185.21
299,2021-03-30,185.25
300,2021-03-31,185.26
301,2021-04-01,185.33
302,2021-04-02,185.25
303,2021-04-06,185.4
304,2021-04-07,185.37
305,2021-04-08,185.35
306,2021-04-09,185.38
307,2021-04-12,185.65
308,2021-04-13,185.77
309,2021-04-14,185.78
310,2021-04-15,185.66
311,2021-04-16,185.71
312,2021-04-19,185.78
313,2021-04-20,185.68
314,2021-04-21,185.78
315,2021-04-22,185.79
316,2021-04-23,185.82
317,2021-04-26,185.77
318,2021-04-27,185.78
319,2021-04-28,185.84
320,2021-04-29,185.85
321,2021-04-30,185.92
322,2021-05-06,186.0
323,2021-05-07,186.01
324,2021-05-10,186.08
325,2021-05-11,186.1
326,2021-05-12,186.15
327,2021-05-13,186.26
328,2021-05-14,186.25
329,2021-05-17,186.28
330,2021-05-18,186.33
331,2021-05-19,186.37
332,2021-05-20,186.43
333,2021-05-21,186.5
334,2021-05-24,186.54
335,2021-05-25,186.5
336,2021-05-26,186.54
337,2021-05-27,186.55
338,2021-05-28,186.6
339,2021-05-31,186.62
340,2021-06-01,186.69
341,2021-06-02,186.72
342,2021-06-03,186.66
343,2021-06-04,186.61
344,2021-06-07,186.57
345,2021-06-08,186.55
346,2021-06-09,186.43
347,2021-06-10,186.52
348,2021-06-11,186.51
349,2021-06-15,186.5
350,2021-06-16,186.58
351,2021-06-17,186.66
352,2021-06-18,186.67
353,2021-06-21,186.73
354,2021-06-22,186.78
355,2021-06-23,186.81
356,2021-06-24,186.82
357,2021-06-25,186.91
358,2021-06-28,186.93
359,2021-06-29,186.75
360,2021-06-30,186.86
361,2021-07-01,186.81
362,2021-07-02,186.79
363,2021-07-05,186.8
364,2021-07-06,186.84
365,2021-07-07,186.89
366,2021-07-08,187.03
367,2021-07-09,187.05
368,2021-07-12,187.18
369,2021-07-13,187.33
370,2021-07-14,187.5
371,2021-07-15,187.53
372,2021-07-16,187.64
373,2021-07-19,187.73
374,2021-07-20,187.78
375,2021-07-21,187.85
376,2021-07-22,187.94
377,2021-07-23,187.97
378,2021-07-26,187.95
379,2021-07-27,188.04
380,2021-07-28,188.07
381,2021-07-29,188.1
382,2021-07-30,188.21
383,2021-08-02,188.45
384,2021-08-03,188.41
385,2021-08-04,188.48
386,2021-08-05,188.61
387,2021-08-06,188.66
388,2021-08-09,188.59
389,2021-08-10,188.61
390,2021-08-11,188.62
391,2021-08-12,188.66
392,2021-08-13,188.66
393,2021-08-16,188.67
394,2021-08-17,188.74
395,2021-08-18,188.83
396,2021-08-19,188.85
397,2021-08-20,188.93
398,2021-08-23,188.96
399,2021-08-24,188.97
400,2021-08-25,189.0
401,2021-08-26,188.99
402,2021-08-27,189.06
403,2021-08-30,189.11
404,2021-08-31,189.11
405,2021-09-01,189.17
406,2021-09-02,189.14
407,2021-09-03,189.17
408,2021-09-06,189.23
409,2021-09-07,189.21
410,2021-09-08,189.2
411,2021-09-09,189.21
412,2021-09-10,189.24
413,2021-09-13,189.35
414,2021-09-14,189.36
415,2021-09-15,189.38
416,2021-09-16,189.38
417,2021-09-17,189.4
418,2021-09-22,189.48
419,2021-09-23,189.53
420,2021-09-24,189.54
421,2021-09-27,189.56
422,2021-09-28,189.55
423,2021-09-29,189.58
424,2021-09-30,189.61
425,2021-10-08,189.78
426,2021-10-11,189.71
427,2021-10-12,189.71
428,2021-10-13,189.73
429,2021-10-14,189.73
430,2021-10-15,189.75
431,2021-10-18,189.61
432,2021-10-19,189.61
433,2021-10-20,189.68
434,2021-10-21,189.71
435,2021-10-22,189.74
436,2021-10-25,189.74
437,2021-10-26,189.74
438,2021-10-27,189.75
439,2021-10-28,189.73
440,2021-10-29,189.79
441,2021-11-01,189.87
442,2021-11-02,189.92
443,2021-11-03,189.89
444,2021-11-04,190.02
445,2021-11-05,190.05
446,2021-11-08,190.19
447,2021-11-09,190.2
448,2021-11-10,190.12
449,2021-11-11,190.24
450,2021-11-12,190.25
451,2021-11-15,190.29
452,2021-11-16,190.29
453,2021-11-17,190.39
454,2021-11-18,190.38
455,2021-11-19,190.44
456,2021-11-22,190.57
457,2021-11-23,190.59
458,2021-11-24,190.67
459,2021-11-25,190.7
460,2021-11-26,190.75
461,2021-11-29,190.77
462,2021-11-30,190.78
463,2021-12-01,190.81
464,2021-12-02,190.85
465,2021-12-03,190.85
466,2021-12-06,190.93
467,2021-12-07,190.82
468,2021-12-08,190.8
469,2021-12-09,190.83
470,2021-12-10,190.87
471,2021-12-13,190.89
472,2021-12-14,190.9
473,2021-12-15,190.94
474,2021-12-16,190.97
475,2021-12-17,190.98
476,2021-12-20,191.0
477,2021-12-21,191.17
478,2021-12-22,191.15
479,2021-12-23,191.21
480,2021-12-24,191.26
481,2021-12-27,191.34
482,2021-12-28,191.37
483,2021-12-29,191.43
484,2021-12-30,191.57
485,2021-12-31,191.57
486,2022-01-04,191.66
487,2022-01-05,191.69
488,2022-01-06,191.66
489,2022-01-07,191.65
490,2022-01-10,191.75
491,2022-01-11,191.77
492,2022-01-12,191.81
493,2022-01-13,191.82
494,2022-01-14,191.95
495,2022-01-17,192.05
496,2022-01-18,192.09
497,2022-01-19,192.23
498,2022-01-20,192.26
499,2022-01-21,192.33
500,2022-01-24,192.56
501,2022-01-25,192.59
502,2022-01-26,192.58
503,2022-01-27,192.69
504,2022-01-28,192.66
505,2022-02-07,192.83
506,2022-02-08,192.85
507,2022-02-09,192.84
508,2022-02-10,192.88
509,2022-02-11,192.82
510,2022-02-14,192.83
511,2022-02-15,192.87
512,2022-02-16,192.9
513,2022-02-17,192.91
514,2022-02-18,192.93
515,2022-02-21,193.02
516,2022-02-22,192.97
517,2022-02-23,193.0
518,2022-02-24,193.05
519,2022-02-25,193.08
520,2022-02-28,193.03
521,2022-03-01,193.04
522,2022-03-02,193.02
523,2022-03-03,193.1
524,2022-03-04,193.1
525,2022-03-07,193.11
526,2022-03-08,193.15
527,2022-03-09,193.09
528,2022-03-10,193.1
529,2022-03-11,193.11
530,2022-03-14,193.22
531,2022-03-15,193.16
532,2022-03-16,193.16
533,2022-03-17,193.14
534,2022-03-18,193.22
535,2022-03-21,193.28
536,2022-03-22,193.24
537,2022-03-23,193.16
538,2022-03-24,193.18
539,2022-03-25,193.23
540,2022-03-28,193.3
541,2022-03-29,193.33
542,2022-03-30,193.36
543,2022-03-31,193.37
544,2022-04-01,193.48
545,2022-04-06,193.62
546,2022-04-07,193.68
547,2022-04-08,193.8
548,2022-04-11,193.76
549,2022-04-12,193.86
550,2022-04-13,193.82
551,2022-04-14,193.88
552,2022-04-15,193.9
553,2022-04-18,193.93
554,2022-04-19,193.95
555,2022-04-20,193.87
556,2022-04-21,193.97
557,2022-04-22,194.0
558,2022-04-25,194.05
559,2022-04-26,194.07
560,2022-04-27,194.16
561,2022-04-28,194.13
562,2022-04-29,194.21
563,2022-05-05,194.27
