,date,factor
0,2020-01-28,50.0
1,2020-02-28,35.7
2,2020-03-28,52.0
3,2020-04-28,50.8
4,2020-05-28,50.6
5,2020-06-28,50.9
6,2020-07-28,51.1
7,2020-08-28,51.0
8,2020-09-28,51.5
9,2020-10-28,51.4
10,2020-11-28,52.1
11,2020-12-28,51.9
12,2021-01-28,51.3
13,2021-02-28,50.6
14,2021-03-28,51.9
15,2021-04-28,51.1
16,2021-05-28,51.0
17,2021-06-28,50.9
18,2021-07-28,50.4
19,2021-08-28,50.1
20,2021-09-28,49.6
21,2021-10-28,49.2
22,2021-11-28,50.1
23,2021-12-28,50.3
24,2022-01-28,50.1
25,2022-02-28,50.2
26,2022-03-28,49.5
27,2022-04-28,47.4
28,2022-05-28,49.6
29,2022-06-28,50.2
30,2022-07-28,49.0
31,2022-08-28,49.4
32,2022-09-28,50.1
33,2022-10-28,49.2
34,2022-11-28,48.0
35,2022-12-28,47.0
36,2023-01-28,50.1
37,2023-02-28,52.6
38,2023-03-28,51.9
39,2023-04-28,49.2
40,2023-05-28,48.8
41,2023-06-28,49.0
42,2023-07-28,49.3
