,date,factor
0,2020-01-02,0.0
1,2020-01-03,0.0
2,2020-01-06,0.0
3,2020-01-07,0.0
4,2020-01-08,0.0
5,2020-01-09,0.0
6,2020-01-10,0.0
7,2020-01-13,0.0
8,2020-01-14,0.0
9,2020-01-15,0.0
10,2020-01-16,0.0
11,2020-01-17,0.0
12,2020-01-20,0.0
13,2020-01-21,0.0
14,2020-01-22,0.0
15,2020-01-23,0.0
16,2020-02-03,0.0
17,2020-02-04,0.0
18,2020-02-05,0.0
19,2020-02-06,0.0
20,2020-02-07,0.0
21,2020-02-10,0.0
22,2020-02-11,0.0
23,2020-02-12,0.0
24,2020-02-13,0.0
25,2020-02-14,0.0
26,2020-02-17,0.0
27,2020-02-18,0.0
28,2020-02-19,0.0
29,2020-02-20,0.0
30,2020-02-21,0.0
31,2020-02-24,0.0
32,2020-02-25,0.0
33,2020-02-26,0.0
34,2020-02-27,0.0
35,2020-02-28,0.0
36,2020-03-02,0.0
37,2020-03-03,0.0
38,2020-03-04,0.0
39,2020-03-05,0.0
40,2020-03-06,0.0
41,2020-03-09,0.0
42,2020-03-10,0.0
43,2020-03-11,0.0
44,2020-03-12,0.0
45,2020-03-13,0.0
46,2020-03-16,0.0
47,2020-03-17,0.0
48,2020-03-18,0.0
49,2020-03-19,0.0
50,2020-03-20,0.0
51,2020-03-23,0.0
52,2020-03-24,0.0
53,2020-03-25,0.0
54,2020-03-26,0.0
55,2020-03-27,0.0
56,2020-03-30,0.0
57,2020-03-31,0.0
58,2020-04-01,0.0
59,2020-04-02,0.0
60,2020-04-03,0.0
61,2020-04-07,0.0
62,2020-04-08,0.0
63,2020-04-09,0.0
64,2020-04-10,0.0
65,2020-04-13,0.0
66,2020-04-14,0.0
67,2020-04-15,0.0
68,2020-04-16,0.0
69,2020-04-17,0.0
70,2020-04-20,0.0
71,2020-04-21,0.0
72,2020-04-22,0.0
73,2020-04-23,0.0
74,2020-04-24,0.0
75,2020-04-27,0.0
76,2020-04-28,0.0
77,2020-04-29,0.0
78,2020-04-30,0.0
79,2020-05-06,0.0
80,2020-05-07,0.0
81,2020-05-08,0.0
82,2020-05-11,0.0
83,2020-05-12,0.0
84,2020-05-13,0.0
85,2020-05-14,0.0
86,2020-05-15,0.0
87,2020-05-18,0.0
88,2020-05-19,0.0
89,2020-05-20,0.0
90,2020-05-21,0.0
91,2020-05-22,0.0
92,2020-05-25,0.0
93,2020-05-26,0.0
94,2020-05-27,0.0
95,2020-05-28,0.0
96,2020-05-29,0.0
97,2020-06-01,0.0
98,2020-06-02,0.0
99,2020-06-03,0.0
100,2020-06-04,0.0
101,2020-06-05,0.0
102,2020-06-08,0.0
103,2020-06-09,0.0
104,2020-06-10,0.0
105,2020-06-11,0.0
106,2020-06-12,0.0
107,2020-06-15,0.0
108,2020-06-16,0.0
109,2020-06-17,0.0
110,2020-06-18,0.0
111,2020-06-19,0.0
112,2020-06-22,0.0
113,2020-06-23,0.0
114,2020-06-24,0.0
115,2020-06-29,0.0
116,2020-06-30,0.0
117,2020-07-01,0.0
118,2020-07-02,0.0
119,2020-07-03,0.0
120,2020-07-06,0.0
121,2020-07-07,0.0
122,2020-07-08,0.0
123,2020-07-09,0.0
124,2020-07-10,0.0
125,2020-07-13,0.0
126,2020-07-14,5.995204332975845e-15
127,2020-07-15,6.439293542825908e-15
128,2020-07-16,5.551115123125783e-15
129,2020-07-17,5.10702591327572e-15
130,2020-07-20,5.995204332975845e-15
131,2020-07-21,6.439293542825908e-15
132,2020-07-22,6.439293542825908e-15
133,2020-07-23,7.105427357601002e-15
134,2020-07-24,7.993605777301127e-15
135,2020-07-27,9.325873406851315e-15
136,2020-07-28,9.103828801926284e-15
137,2020-07-29,9.325873406851315e-15
138,2020-07-30,7.993605777301127e-15
139,2020-07-31,7.993605777301127e-15
140,2020-08-03,7.771561172376096e-15
141,2020-08-04,7.771561172376096e-15
142,2020-08-05,7.771561172376096e-15
143,2020-08-06,8.43769498715119e-15
144,2020-08-07,7.993605777301127e-15
145,2020-08-10,7.105427357601002e-15
146,2020-08-11,7.105427357601002e-15
147,2020-08-12,6.8833827526759706e-15
148,2020-08-13,6.8833827526759706e-15
149,2020-08-14,7.549516567451064e-15
150,2020-08-17,8.215650382226158e-15
151,2020-08-18,7.993605777301127e-15
152,2020-08-19,8.881784197001252e-15
153,2020-08-20,8.881784197001252e-15
154,2020-08-21,8.881784197001252e-15
155,2020-08-24,9.103828801926284e-15
156,2020-08-25,7.993605777301127e-15
157,2020-08-26,7.993605777301127e-15
158,2020-08-27,8.43769498715119e-15
159,2020-08-28,8.215650382226158e-15
160,2020-08-31,7.105427357601002e-15
161,2020-09-01,6.439293542825908e-15
162,2020-09-02,5.551115123125783e-15
163,2020-09-03,4.884981308350689e-15
164,2020-09-04,5.773159728050814e-15
165,2020-09-07,5.551115123125783e-15
166,2020-09-08,5.995204332975845e-15
167,2020-09-09,6.439293542825908e-15
168,2020-09-10,6.439293542825908e-15
169,2020-09-11,6.217248937900877e-15
170,2020-09-14,6.439293542825908e-15
171,2020-09-15,5.329070518200751e-15
172,2020-09-16,6.439293542825908e-15
173,2020-09-17,7.105427357601002e-15
174,2020-09-18,7.105427357601002e-15
175,2020-09-21,7.327471962526033e-15
176,2020-09-22,7.549516567451064e-15
177,2020-09-23,6.217248937900877e-15
178,2020-09-24,5.995204332975845e-15
179,2020-09-25,5.329070518200751e-15
180,2020-09-28,4.440892098500626e-15
181,2020-09-29,3.552713678800501e-15
182,2020-09-30,3.3306690738754696e-15
183,2020-10-09,3.9968028886505635e-15
184,2020-10-12,3.552713678800501e-15
185,2020-10-13,3.552713678800501e-15
186,2020-10-14,3.552713678800501e-15
187,2020-10-15,2.6645352591003757e-15
188,2020-10-16,1.7763568394002505e-15
189,2020-10-19,1.7763568394002505e-15
190,2020-10-20,1.7763568394002505e-15
191,2020-10-21,2.6645352591003757e-15
192,2020-10-22,1.7763568394002505e-15
193,2020-10-23,8.881784197001252e-16
194,2020-10-26,8.881784197001252e-16
195,2020-10-27,1.7763568394002505e-15
196,2020-10-28,2.6645352591003757e-15
197,2020-10-29,3.552713678800501e-15
198,2020-10-30,3.6637359812630166e-15
199,2020-11-02,3.552713678800501e-15
200,2020-11-03,3.6637359812630166e-15
201,2020-11-04,3.552713678800501e-15
202,2020-11-05,3.552713678800501e-15
203,2020-11-06,3.6637359812630166e-15
204,2020-11-09,3.552713678800501e-15
205,2020-11-10,1.6653345369377348e-15
206,2020-11-11,7.771561172376096e-16
207,2020-11-12,1.1102230246251565e-16
208,2020-11-13,0.0
209,2020-11-16,0.0
210,2020-11-17,2.220446049250313e-16
211,2020-11-18,0.0
212,2020-11-19,1.1102230246251565e-16
213,2020-11-20,1.1102230246251565e-16
214,2020-11-23,-8.881784197001252e-16
215,2020-11-24,-8.881784197001252e-16
216,2020-11-25,-1.7763568394002505e-15
217,2020-11-26,-1.887379141862766e-15
218,2020-11-27,-1.7763568394002505e-15
219,2020-11-30,-1.7763568394002505e-15
220,2020-12-01,-1.7763568394002505e-15
221,2020-12-02,-1.7763568394002505e-15
222,2020-12-03,-1.7763568394002505e-15
223,2020-12-04,-1.9984014443252818e-15
224,2020-12-07,-2.6645352591003757e-15
225,2020-12-08,-2.6645352591003757e-15
226,2020-12-09,-2.4424906541753444e-15
227,2020-12-10,-1.7763568394002505e-15
228,2020-12-11,-8.881784197001252e-16
229,2020-12-14,0.0
230,2020-12-15,1.7763568394002505e-15
231,2020-12-16,1.5543122344752192e-15
232,2020-12-17,8.881784197001252e-16
233,2020-12-18,8.881784197001252e-16
234,2020-12-21,6.661338147750939e-16
235,2020-12-22,1.1102230246251565e-15
236,2020-12-23,1.7763568394002505e-15
237,2020-12-24,1.7763568394002505e-15
238,2020-12-25,2.6645352591003757e-15
239,2020-12-28,2.6645352591003757e-15
240,2020-12-29,2.6645352591003757e-15
241,2020-12-30,2.6645352591003757e-15
242,2020-12-31,2.4424906541753444e-15
243,2021-01-04,1.9984014443252818e-15
244,2021-01-05,2.886579864025407e-15
245,2021-01-06,2.6645352591003757e-15
246,2021-01-07,3.774758283725532e-15
247,2021-01-08,3.9968028886505635e-15
248,2021-01-11,3.3306690738754696e-15
249,2021-01-12,3.774758283725532e-15
250,2021-01-13,3.552713678800501e-15
