,date,factor
0,2020-01-02,306995
1,2020-01-03,307037
2,2020-01-06,364200
3,2020-01-07,271204
4,2020-01-08,244236
5,2020-01-09,214770
6,2020-01-10,202403
7,2020-01-13,220489
8,2020-01-14,164933
9,2020-01-15,119278
10,2020-01-16,104861
11,2020-01-17,423537
12,2020-01-20,422954
13,2020-01-21,257593
14,2020-01-22,298642
15,2020-01-23,293611
16,2020-02-03,811608
17,2020-02-04,490220
18,2020-02-05,566509
19,2020-02-06,460091
20,2020-02-07,520954
21,2020-02-10,524676
22,2020-02-11,368975
23,2020-02-12,490135
24,2020-02-13,323148
25,2020-02-14,326776
26,2020-02-17,440674
27,2020-02-18,502833
28,2020-02-19,259110
29,2020-02-20,343749
30,2020-02-21,206364
31,2020-02-24,276864
32,2020-02-25,318678
33,2020-02-26,273646
34,2020-02-27,440524
35,2020-02-28,526955
36,2020-03-02,261284
37,2020-03-03,401185
38,2020-03-04,520477
39,2020-03-05,541976
40,2020-03-06,441669
41,2020-03-09,662730
42,2020-03-10,599426
43,2020-03-11,529925
44,2020-03-12,644508
45,2020-03-13,856562
46,2020-03-16,402777
47,2020-03-17,453951
48,2020-03-18,710175
49,2020-03-19,509169
50,2020-03-20,400973
51,2020-03-23,722044
52,2020-03-24,773145
53,2020-03-25,572763
54,2020-03-26,630505
55,2020-03-27,542888
56,2020-03-30,787118
57,2020-03-31,962200
58,2020-04-01,693497
59,2020-04-02,564323
60,2020-04-03,655307
61,2020-04-07,865004
62,2020-04-08,377079
63,2020-04-09,654679
64,2020-04-10,617713
65,2020-04-13,409081
66,2020-04-14,360801
67,2020-04-15,456733
68,2020-04-16,597545
69,2020-04-17,755167
70,2020-04-20,739456
71,2020-04-21,422608
72,2020-04-22,412590
73,2020-04-23,1134571
74,2020-04-24,633048
75,2020-04-27,566085
76,2020-04-28,460204
77,2020-04-29,426547
78,2020-04-30,457547
79,2020-05-06,539042
80,2020-05-07,923031
81,2020-05-08,979791
82,2020-05-11,732893
83,2020-05-12,984376
84,2020-05-13,445574
85,2020-05-14,549505
86,2020-05-15,322850
87,2020-05-18,475321
88,2020-05-19,539849
89,2020-05-20,269909
90,2020-05-21,262169
91,2020-05-22,403143
92,2020-05-25,165801
93,2020-05-26,252165
94,2020-05-27,151644
95,2020-05-28,246039
96,2020-05-29,210481
97,2020-06-01,306583
98,2020-06-02,475849
99,2020-06-03,496730
100,2020-06-04,215425
101,2020-06-05,572264
102,2020-06-08,268471
103,2020-06-09,235292
104,2020-06-10,178318
105,2020-06-11,325427
106,2020-06-12,470969
107,2020-06-15,279646
108,2020-06-16,497037
109,2020-06-17,211227
110,2020-06-18,236436
111,2020-06-19,282468
112,2020-06-22,274921
113,2020-06-23,1067731
114,2020-06-24,575252
115,2020-06-29,478079
116,2020-06-30,225684
117,2020-07-01,208087
118,2020-07-02,154833
119,2020-07-03,231072
120,2020-07-06,527037
121,2020-07-07,737451
122,2020-07-08,557940
123,2020-07-09,565895
124,2020-07-10,465610
125,2020-07-13,341466
126,2020-07-14,345102
127,2020-07-15,502001
128,2020-07-16,1061049
129,2020-07-17,390896
130,2020-07-20,333017
131,2020-07-21,362910
132,2020-07-22,467438
133,2020-07-23,315642
134,2020-07-24,414005
135,2020-07-27,281999
136,2020-07-28,403272
137,2020-07-29,275449
138,2020-07-30,236555
139,2020-07-31,393357
140,2020-08-03,258740
141,2020-08-04,222142
142,2020-08-05,248740
143,2020-08-06,196817
144,2020-08-07,363410
145,2020-08-10,184905
146,2020-08-11,175748
147,2020-08-12,223595
148,2020-08-13,151320
149,2020-08-14,213674
150,2020-08-17,174563
151,2020-08-18,134712
152,2020-08-19,190582
153,2020-08-20,229117
154,2020-08-21,122867
155,2020-08-24,147875
156,2020-08-25,185821
157,2020-08-26,125466
158,2020-08-27,120042
159,2020-08-28,179487
160,2020-08-31,178896
161,2020-09-01,113881
162,2020-09-02,139199
163,2020-09-03,118393
164,2020-09-04,79311
165,2020-09-07,116866
166,2020-09-08,233664
167,2020-09-09,183525
168,2020-09-10,272597
169,2020-09-11,256672
170,2020-09-14,188501
171,2020-09-15,167727
172,2020-09-16,173713
173,2020-09-17,150441
174,2020-09-18,158240
175,2020-09-21,577783
176,2020-09-22,188269
177,2020-09-23,127666
178,2020-09-24,187252
179,2020-09-25,132080
180,2020-09-28,107861
181,2020-09-29,147058
182,2020-09-30,164913
183,2020-10-09,130299
184,2020-10-12,232614
185,2020-10-13,75377
186,2020-10-14,181367
187,2020-10-15,141742
188,2020-10-16,129192
189,2020-10-19,119062
190,2020-10-20,83199
191,2020-10-21,150093
192,2020-10-22,135285
193,2020-10-23,71065
194,2020-10-26,143082
195,2020-10-27,53956
196,2020-10-28,204307
197,2020-10-29,148408
198,2020-10-30,72531
199,2020-11-02,87283
200,2020-11-03,130347
201,2020-11-04,154335
202,2020-11-05,147325
203,2020-11-06,163696
204,2020-11-09,139073
205,2020-11-10,217911
206,2020-11-11,36992
207,2020-11-12,124335
208,2020-11-13,126586
209,2020-11-16,80313
210,2020-11-17,120778
211,2020-11-18,190006
212,2020-11-19,79489
213,2020-11-20,163144
214,2020-11-23,164232
215,2020-11-24,122309
216,2020-11-25,239921
217,2020-11-26,167852
218,2020-11-27,80107
219,2020-11-30,246088
220,2020-12-01,121197
221,2020-12-02,173618
222,2020-12-03,114113
223,2020-12-04,404810
224,2020-12-07,787665
225,2020-12-08,349471
226,2020-12-09,136476
227,2020-12-10,344829
228,2020-12-11,203324
229,2020-12-14,74564
230,2020-12-15,174176
231,2020-12-16,265351
232,2020-12-17,127161
233,2020-12-18,127895
234,2020-12-21,185665
235,2020-12-22,212229
236,2020-12-23,228785
237,2020-12-24,139394
238,2020-12-25,159857
239,2020-12-28,159152
240,2020-12-29,188269
241,2020-12-30,235856
242,2020-12-31,321840
243,2021-01-04,171209
244,2021-01-05,216758
245,2021-01-06,274987
246,2021-01-07,291210
247,2021-01-08,228372
248,2021-01-11,273507
249,2021-01-12,149366
250,2021-01-13,208341
251,2021-01-14,277528
252,2021-01-15,127760
253,2021-01-18,295078
254,2021-01-19,233492
255,2021-01-20,398196
256,2021-01-21,174924
257,2021-01-22,131014
258,2021-01-25,137329
259,2021-01-26,299736
260,2021-01-27,141426
261,2021-01-28,184985
262,2021-01-29,212150
263,2021-02-01,226930
264,2021-02-02,125851
265,2021-02-03,199668
266,2021-02-04,80341
267,2021-02-05,135932
268,2021-02-08,160610
269,2021-02-09,268324
270,2021-02-10,329810
271,2021-02-18,303363
272,2021-02-19,154357
273,2021-02-22,220074
274,2021-02-23,157199
275,2021-02-24,282616
276,2021-02-25,166090
277,2021-02-26,188910
278,2021-03-01,171311
279,2021-03-02,255644
280,2021-03-03,194501
281,2021-03-04,79445
282,2021-03-05,173472
283,2021-03-08,100562
284,2021-03-09,168396
285,2021-03-10,174947
286,2021-03-11,240303
287,2021-03-12,89583
288,2021-03-15,209439
289,2021-03-16,143762
290,2021-03-17,119869
291,2021-03-18,175948
292,2021-03-19,321122
293,2021-03-22,228749
294,2021-03-23,146291
295,2021-03-24,464531
296,2021-03-25,217588
297,2021-03-26,138081
298,2021-03-29,151232
299,2021-03-30,320349
300,2021-03-31,201175
301,2021-04-01,139323
302,2021-04-02,174288
303,2021-04-06,126959
304,2021-04-07,123441
305,2021-04-08,206721
306,2021-04-09,129255
307,2021-04-12,215950
308,2021-04-13,423993
309,2021-04-14,262023
310,2021-04-15,124929
311,2021-04-16,161671
312,2021-04-19,259803
313,2021-04-20,158961
314,2021-04-21,134986
315,2021-04-22,237968
316,2021-04-23,219805
317,2021-04-26,208552
318,2021-04-27,131913
319,2021-04-28,98373
320,2021-04-29,64759
