,date,factor
0,2020-01-28,50535
1,2020-02-28,8737
2,2020-03-28,51838
3,2020-04-28,31027
4,2020-05-28,31866
5,2020-06-28,34681
6,2020-07-28,16928
7,2020-08-28,35853
8,2020-09-28,34693
9,2020-10-28,13929
10,2020-11-28,21355
11,2020-12-28,17192
12,2021-01-28,51884
13,2021-02-28,17243
14,2021-03-28,33762
15,2021-04-28,18570
16,2021-05-28,19522
17,2021-06-28,37017
18,2021-07-28,10752
19,2021-08-28,29893
20,2021-09-28,29026
21,2021-10-28,16176
22,2021-11-28,25983
23,2021-12-28,23682
24,2022-01-28,61759
25,2022-02-28,12170
26,2022-03-28,46565
27,2022-04-28,9327
28,2022-05-28,28415
29,2022-06-28,51926
30,2022-07-28,7785
31,2022-08-28,24712
32,2022-09-28,35411
33,2022-10-28,9134
34,2022-11-28,19837
35,2022-12-28,13058
36,2023-01-28,59953
37,2023-02-28,31623
38,2023-03-28,53862
39,2023-04-28,12253
40,2023-05-28,15555
41,2023-06-28,42241
