,date,factor
0,2020-01-02,182116772
1,2020-01-03,142826245
2,2020-01-06,175309952
3,2020-01-07,139489032
4,2020-01-08,167585851
5,2020-01-09,136886323
6,2020-01-10,113031718
7,2020-01-13,119691983
8,2020-01-14,129320783
9,2020-01-15,104633137
10,2020-01-16,100267643
11,2020-01-17,98725683
12,2020-01-20,122409147
13,2020-01-21,130527506
14,2020-01-22,126758764
15,2020-01-23,160357604
16,2020-02-03,157559647
17,2020-02-04,213933327
18,2020-02-05,174925524
19,2020-02-06,176462236
20,2020-02-07,151731758
21,2020-02-10,148406968
22,2020-02-11,143441674
23,2020-02-12,126710321
24,2020-02-13,145001843
25,2020-02-14,143239803
26,2020-02-17,182778970
27,2020-02-18,163236219
28,2020-02-19,169046441
29,2020-02-20,212232625
30,2020-02-21,217213604
31,2020-02-24,212869304
32,2020-02-25,244167831
33,2020-02-26,261094062
34,2020-02-27,181290980
35,2020-02-28,230275092
36,2020-03-02,219313559
37,2020-03-03,219369777
38,2020-03-04,182424730
39,2020-03-05,231823114
40,2020-03-06,172475717
41,2020-03-09,208102034
42,2020-03-10,197416402
43,2020-03-11,161656110
44,2020-03-12,157060457
45,2020-03-13,188296722
46,2020-03-16,185968261
47,2020-03-17,166246129
48,2020-03-18,155037548
49,2020-03-19,180807406
50,2020-03-20,139603000
51,2020-03-23,137108790
52,2020-03-24,143103022
53,2020-03-25,153495959
54,2020-03-26,112310666
55,2020-03-27,124060995
56,2020-03-30,126876672
57,2020-03-31,111453025
58,2020-04-01,119352620
59,2020-04-02,115168210
60,2020-04-03,99825083
61,2020-04-07,142778030
62,2020-04-08,111389514
63,2020-04-09,100485033
64,2020-04-10,102444956
65,2020-04-13,79053343
66,2020-04-14,110637586
67,2020-04-15,108461985
68,2020-04-16,95947965
69,2020-04-17,132004301
70,2020-04-20,100013115
71,2020-04-21,102921889
72,2020-04-22,85899464
73,2020-04-23,95508449
74,2020-04-24,94844134
75,2020-04-27,95462735
76,2020-04-28,122093476
77,2020-04-29,95854589
78,2020-04-30,132917125
79,2020-05-06,139855675
80,2020-05-07,105514647
81,2020-05-08,116943342
82,2020-05-11,122673802
83,2020-05-12,98250555
84,2020-05-13,88190669
85,2020-05-14,88530004
86,2020-05-15,92618383
87,2020-05-18,112801761
88,2020-05-19,94015291
89,2020-05-20,100791150
90,2020-05-21,94861033
91,2020-05-22,103378360
92,2020-05-25,79033326
93,2020-05-26,77448077
94,2020-05-27,83711831
95,2020-05-28,93064054
96,2020-05-29,93813832
97,2020-06-01,136456653
98,2020-06-02,144303060
99,2020-06-03,136597484
100,2020-06-04,104277737
101,2020-06-05,102443942
102,2020-06-08,137925814
103,2020-06-09,115304479
104,2020-06-10,112265728
105,2020-06-11,127308941
106,2020-06-12,134166648
107,2020-06-15,131297861
108,2020-06-16,111051538
109,2020-06-17,105605798
110,2020-06-18,138148762
111,2020-06-19,152946990
112,2020-06-22,155829466
113,2020-06-23,129229509
114,2020-06-24,121712466
115,2020-06-29,130865853
116,2020-06-30,125933522
117,2020-07-01,169990456
118,2020-07-02,252939369
119,2020-07-03,290485540
120,2020-07-06,405821025
121,2020-07-07,406008553
122,2020-07-08,348074847
123,2020-07-09,351046894
124,2020-07-10,316949650
125,2020-07-13,321645445
126,2020-07-14,297241984
127,2020-07-15,272389007
128,2020-07-16,284657134
129,2020-07-17,207375562
130,2020-07-20,246068915
131,2020-07-21,200415660
132,2020-07-22,224199212
133,2020-07-23,234314570
134,2020-07-24,243905203
135,2020-07-27,171420552
136,2020-07-28,162768499
137,2020-07-29,186695306
138,2020-07-30,166967567
139,2020-07-31,184839027
140,2020-08-03,214776238
141,2020-08-04,239974986
142,2020-08-05,196700549
143,2020-08-06,227854405
144,2020-08-07,213518216
145,2020-08-10,203788833
146,2020-08-11,205546511
147,2020-08-12,202887240
